Are you happy?	Ты счастлива? 
I mean, look how happy the people are, and good-looking too.	Посмотрите, какие это счастливые и милые люди. 
And if people were just trying to be happy, the moment they would get to the top, they would say, "This was a terrible mistake.	А если бы люди старались просто быть счастливы, в момент достижения вершины, они бы сказали: "Это была ужасная ошибка. 
Now at the moment when he was working, he was actually quite happy.	В моменты работы он был по-настоящему счастлив. 
You shred people's efforts, output, you get them not to be as happy with what they're doing.	Вы уничтожаете усилия людей и на выходе вы получаете не самых счастливых от своей работы людей. 
I'm happy, actually, today, to present her.	Я счастлив сегодня представить её. 
We fill our head with distraction, with busyness, so that we don't have to ask, am I well? Am I happy? Are my children growing up right?	Мы забиваем голову разными вещами, отвлекаемся, загружаем себя так, что не приходится спрашивать себя: хорошо ли мне? счастлив ли я? правильно ли я воспитываю детей? 
That's really the main question before us today. Is it possible to slow down? And I'm happy to be able to say to you that the answer is a resounding yes.	Это действительно самый главный вопрос перед нами сегодня. Возможно ли протормозить? И я. я рад сообщить вам, что ответ - твердое ДА! 
And everybody's happy about that.	И все счастливы. 
And they're happy over and over again.	Счастливы снова и снова. 
So I'm happy to get a chance to tell you about it.	Я рад, что мне удалось рассказать вам о ней. 
At the opposite, everyone knows deep within that an act of selfless generosity, if from the distance, without anyone knowing anything about it, we could save a child's life, make someone happy.	С другой стороны, каждый глубоко внутри себя знает, что сделать что-то бескорыстно и великодушно - это может быть незаметно, совсем не надо, чтобы кто-то что-то узнал: спасти жизни ребёнка, сделать кого-то счастливым, 
Everybody goes, I'm happy.	Все согласны, я счастлив. 
One group of monkeys gets an apple, they're pretty happy.	Одной группе обезьян раздали по яблоку, и они очень рады. 
Plenty of play in childhood makes for happy, smart adults - and keeping it up can make us smarter at any age.	Достаток игр в детстве - залог того, что взрослый человек будет разумным и счастливым, а если не прекращать играть, то можно стать умнее в любом возрасте. 
No songs, no "I want" moment, no happy village, no love story.	никаких песен, ничего похожего на мечтания героя, никакой счастливой деревни, никакой истории любви. 
And the fax said, there should be songs, there should be an "I want" song, there should be a happy village song, there should be a love story and there should be a villain.	Там было сказано: "Нужны песни, особенно сокровенные мечтания героя, нужна счастливая деревня и история любви, не обойтись и без злодея. 
And I'm really happy to be here.	Я очень счастлив быть здесь. 
But the truth is that I had a very happy childhood, full of laughter and love, in a very close-knit family.	Но правда в том, что у меня было очень счастливое детство, полное смеха и любви, в очень дружной семье. 
I suspect that the word "atheist" itself contains or remains a stumbling block far out of proportion to what it actually means, and a stumbling block to people who otherwise might be happy to out themselves.	Я подозреваю, что само слово "атеист" является камнем преткновения, далеким от своего истинного значения, и камнем преткновения для людей, которые в противном случае были бы рады заявить о своих взглядах. 
Since we know people want to be happy, maybe when our minds wander, they're going to someplace happier than the place that they're leaving.	Раз уж люди хотят быть счастливыми, может быть, отпустив свои мысли, они переносятся куда-то, где им лучше, чем там, где они физически находятся. 
This graph shows happiness on the vertical axis, and you can see that bar there representing how happy people are when they're focused on the present, when they're not mind-wandering.	На этом графике счастье находится на оси ординат, и столбик, который вы видите на экране, показывает, насколько счастливыми чувствуют себя люди, сосредоточенные на настоящем, не позволяющие себе думать о другом. 
As it turns out, people are substantially less happy when their minds are wandering than when they're not.	Оказывается, люди чувствуют себя гораздо менее счастливыми, когда их мысли блуждают, чем когда они сосредоточены на настоящем. 
Now you might look at this result and say, okay, sure, on average people are less happy when they're mind-wandering, but surely when their minds are straying away from something that wasn't very enjoyable to begin with, at least then mind-wandering should be doing something good for us.	Глядя на результат, вы можете сказать: хорошо, в общем люди менее счастливы, когда их мысли где-то бродят, но скорее всего причина в том, что они мысленно убегают от неприятной ситуации, и таким образом мысленное перенесение хорошо влияет на их самочувствие. 
As it turns out, people are less happy when they're mind-wandering no matter what they're doing.	Оказывается, люди чувствуют себя менее счастливыми, когда думают о другом, вне зависимости от того, что они делают на самом деле. 
Even when they're thinking about something they would describe as pleasant, they're actually just slightly less happy than when they aren't mind-wandering.	И даже когда люди думают о приятных для них вещах, они чуть-чуть менее счастливы, чем когда они остаются в настоящем. 
I was free, I was happy.	Я был свободен, я был счастлив. 
And what I'm so happy about with this is that we have already documented that there are many countries in Asia, in the Middle East, in Latin America and East Europe that [are] reducing with this rate.	И я счастлив, что мы уже фиксируем, что многие страны в Азии, на Ближнем Востоке, в Латинской Америке и в Восточной Европе снижают этот показатель. 
I was so happy.	Я был так счастлив. 
So ladies and gentlemen, I'm very happy to announce, this gift of the 21st century to the world from India, Gandhian engineering.	Итак, леди и джентльмены, рад вам сообщить, что подарок 21-го века миру от Индии - Ганди инжиниринг. 
And then for the consumers, for everyone else in the audience, let me simply summarize it by saying, increasingly, what we - what will make us happy, is spending our time and our money satisfying the desire for authenticity.	И теперь для потребителей и всех, кто находится в этом зале, позвольме мне резюмировать просто сказав, что мы - или что делает нас счастливыми, это когда мы тратим свои деньги и время в поисках удовлетворения своего желания получить аутентичное впечатление. 
And it's not because people were happy or people were not frustrated.	И не потому что люди были счастливы или просто равнодушны. 
They are happy. They don't have problems.	Счастливы, никаких проблем. 
Because Steven, despite the fact that he was paralyzed, as he was in that pool, he could not walk, he could not use his arms - that's why he had the little floaty things on them, did you see those? - he was happy. We were at the beach, he was raising his son, and he was productive.	Потому что Стивен, несмотря на то, что он был парализован в период, к которому относятся те кадры в бассейне, он не мог ходить, не мог пользоваться руками, поэтому у него на руках эти надувные штуки. Вы видели? Он был счастлив. Мы ходили на пляж. Он растил своего сына. Он вел продуктивную жизнь. 
And what I found in my research and my teaching is that these students, no matter how happy they were with their original success of getting into the school, two weeks later their brains were focused, not on the privilege of being there, nor on their philosophy or their physics.	И, наблюдая за ними, я увидел, что независимо от того, насколько они были рады своему поступлению, через 2 недели они уже думали не об оказанной им чести, не о философии или физике, 
And into the silence, I said, "I'd be happy to speak at your school, but just so you know, that's not a wellness week, that's a sickness week.	И я сказал: "Я буду рад выступить в вашей школе, но у вас вместо недели здоровья получается неделя болезни. 
I don't think I've ever felt so happy in my entire life.	Не думаю, что когда-либо я была счастливее за всю мою жизнь. 
For so much of my life, I wanted something else to make me happy.	Так много раз я хотела, чтобы кто-то сделал меня счастливой. 
I thought if I had the right house or the right car or the right man in my life, then I could be happy.	Мне казалось, что если у меня будет правильный дом или правильная машина или правильный мужчина рядом, я могу стать счастливой. 
I plan on being around for a long time, and when I'm 90 years old, I want to be happy and healthy.	я планирую заниматься всем этим довольно долго, и когда мне стукнет 90, я хочу быть счастливой и здоровой. 
And it's very difficult to be happy on a planet that's racked with famine and drought.	Но очень сложно быть счастливой на планете, страдающей от голода и засухи. 
We're going to talk - my - a new lecture, just for TED - and I'm going show you some illusions that we've created for TED, and I'm going to try to relate this to happiness. What I was thinking about with happiness is, what gives happiness - or happiness, which I equate with joy in my particular area, and I think there's something very fundamental. And I was thinking about this. And it's in terms of both illusions and movies that we go see and jokes and magic shows is that there's something about these things where our expectations are violated in some sort of pleasing way. You go see a movie. And it has an unexpected twist - something that you didn't expect - and you find a joyful experience. You look at those sort of illusions in my book and it's not as what you'd expect. And there's something joyful about it. And it's the same thing with jokes and all these sorts of things. So, what I'm going to try and do in my lecture is go a little bit further and see if I can violate your expectations in a pleasing way. I mean, sometimes expectations that are violated are not pleasant, but I'm going to try to do it in a pleasant way, in a very primal way, so I can make the audience here happy.	Мы поговорим - это моя новая лекция специально для TED. Я покажу вам несколько иллюзий, которые мы создали для TED, и я попробую связать их с ощущением счастья. Мои размышления о том, что такое счастье, что делает нас счастливыми, или счастье, которое я приравниваю удовольствию, если говорить о моей конкретной области, и я думаю, тут есть что-то существенное. Я размышлял об этом. И что касается иллюзий и фильмов, которые мы смотрим, шуток и магических представлений, есть в них что-то такое, что обманывает наши ожидания, но каким-то доставляющим удовольствие способом. Вы идете в кино. Неожиданный поворот сюжета - что-то, чего вы не ожидали, - и вы получаете удовольствие. Вы смотрите на иллюзии в моей книге, и это не то, что вы ожидали. И появляется радость от этого. То же самое с шутками и другими подобными вещами. Поэтому то, что я собираюсь сделать в своей лекции, это пойти немного дальше и проверить, смогу ли я обмануть ваши ожидания и доставить удовольствие. Я имею в виду, что иногда обманутые ожидания неприятны, но я постараюсь сделать их приятными, очень простыми, так, чтобы вам понравилось. 
I'd be happy to show you lots of things.	Я буду счастлив показать вам много интересного. 
I'm not afraid to do what makes me happy.	Я не боюсь заниматься тем, что делает меня счастливее. 
Well maybe the reason that money doesn't make us happy is that we're always spending it on the wrong things, and in particular, that we're always spending it on ourselves.	Может быть, деньги не делают нас счастливыми, потому что мы всё время находим им неправильное применение - мы всё время тратим их на себя. 
We asked them how happy they were, and then we gave them an envelope.	Мы спросили у них, насколько они счастливы, а потом вручили им конверт. 
We called them up at night and asked them, "What'd you spend it on, and how happy do you feel now?"	Вечером мы всех обзвонили и спросили: "На что вы потратили ваши деньги и насколько вы сейчас счастливы?" 
It didn't make them less happy, it just didn't do much for them.	Они не стали менее счастливы. На них это просто никак не повлияло. 
How happy did it make you?"	Насколько счастливы вы стали?" 
And then we asked them how happy they are again.	А потом мы опять спросили насколько счастливыми они себя ощущают.
What we see again though is that the specific way that you spend on other people isn't nearly as important as the fact that you spend on other people in order to make yourself happy, which is really quite important.	Мы опять видим, что то, как вы тратите деньги на других людей, значительно менее важно, чем тот факт, что вы их тратите на других, чтобы самим стать счастливее. Это особенно важно. 
So you don't have to do amazing things with your money to make yourself happy.	Не нужно делать с деньгами ничего необычного, чтобы быть счастливее. 
and they ask them, "How happy are you with your life in general?"	а затем: "Насколько вы счастливы в жизни?" 
Giving money makes you happy.	Отдавая деньги, становишься счастливее. 
And, as I stood there, looking at the happy lamb that I had just defiled - but it looked OK.	Я стою там и смотрю на счастливого ягнёнка, которого я только что "осквернил", но он был в порядке. 
And here he is six years later, Guinness, with his very happy owner.	А вот уже шестью годами позже, Гиннес со своим счастливым хозяином. 
I'm very happy to be here in India.	Я очень рада быть здесь, в Индии. 
What if you could take a little concoction of pharmaceuticals that would make you feel really contented, just happy to be you.	Что если бы вы могли взять немного фармацевтического зелья, которое могло бы заставить вас почувствовать действительно наполненным, просто счастливым быть самим собой. 
I'm so happy to be here.	Я так счастлива быть здесь. 
I mean, honestly, I'd be happy enough if I can actually get my two dimension correct in school.	Честно, я была бы счастлива, если бы правильно получила два аспекта в школе. 
A lot of people are very happy with Facebook.	Многие люди очень довольны Facebook. 
So the first one - the most famous appointment dynamic in the world - is something called happy hour.	Итак, первая, самая известная динамика предписания в мире - это то, что мы называем "счастливым часом". 
So I just recently dropped out of Princeton and actually ended up for the first time in a bar, and I saw these happy hour things all over the place, right.	Вот я совсем недавно ушёл из Принстона, и впервые оказался в баре, и повсюду заметил эти "счастливые часы". 
I'd be happy to participate in one.	Я был бы счастлив поучаствовать в этом. 
Happy to take a paternity test, and would love to see it happen.	Я буду счастлив пройти тест на определение отцовства и буду рад увидеть, что из этого выйдет. 
But I'm happy to participate in one.	Но я буду рад в нем поучаствовать. 
So it's kind of like you having a job in Chicago, and then you get transferred to St. Louis, and your mate is not happy about this because you've got to pay airfare, because you're gone longer.	Это как если бы у вас была работа в Чикаго, а после неё нужно было бы лететь домой в Сент-Луис. Ваш супруг, наверняка, был бы не слишком этому рад, потому что приходилось бы платить за авиабилеты и долгое время быть в разлуке. 
And they don't just guess what makes people happy; they go to places like Latin America and they realize that happiness there is associated with family life.	И они не просто гадают, что делает людей счастливыми, они отправляются в такие места, как Латинская Америка, и ясно видят, что там счастье ассоциируется с семьей. 
And I'm happy to say only one other person in that area got polio.	И я рада сообщить, что лишь один человек после этого заболел полиомиелитом. 
Now to the ridicule of my colleagues, I inspired my lab to focus on what I thought was the most non-controversial source of stem cells, adipose tissue, or fat, yes fat - nowadays available in abundant supply - you and I, I think, would be very happy to get rid of anyway.	Несмотря на насмешки моих коллег, я вдохновила свою лабораторию на исследования того, что мне кажется наименее сомнительным источником стволовых клеток, а именно жировой ткани. Да-да, жира! Жир сегодня доступен в огромных количествах, я думаю, мы с вами были бы рады избавиться от него. 
We are very happy to have the possibility to be with you in the other side of the world.	Мы счастливы, что у нас есть возможность быть сегодня с вами на другом конце света. 
We are very happy because we have the opportunity to have this angel in the world - not only in our country, Venezuela, but in our world.	Мы очень рады, потому что нам повезло - в мире есть этот ангел. Не только в нашей стране, в Венесуэле. А в мире. 
The beauty of this research though is that no one is suggesting that women have to be thin to be happy;	Прелесть этого исследования в том, что никто не говорит, что женщина должна быть худой, чтобы быть счастливой. 
For example, the happy wife.	Например, счастливая жена вместо того, 
The data were based entirely on whether people looked happy in these early pictures.	Данные полностью основаны на том, выглядят ли люди счастливыми на своих детских снимках. 
But still, I have a huge pile of fake happy childhood pictures and I'm glad they make me less likely than some people to get a divorce.	Но тем не менее, у меня есть огромная пачка таких фальшивых счастливых детских фотографий. И я рада, что благодаря им, у меня меньше шансов на развод, чем у других людей. 
On the other hand, I have the fake happy picture thing.	С другой стороны, у меня есть те фальшивые счастливые фотографии. 
And then the children would get plenty of support, and nurturing, and mentoring, and the world population would decline very rapidly and everybody would be totally happy.	И тогда детям с избытком достанется и поддержки, и заботы, и воспитания, а количество народонаселения станет резко уменьшаться, и все будут бесконечно счастливы. 
They were happy. They had their plans.	Они были довольны жизнью, строили планы. 
Happy to be here.	Рад поучаствовать. 
Now compassion, when it enters the news, too often comes in the form of feel-good feature pieces or sidebars about heroic people you could never be like or happy endings or examples of self-sacrifice that would seem to be too good to be true most of the time.	Когда слово сострадание появляется в новостях, оно часто приходит в виде положительных репортажей или кратких рассказах о героях, до высот которых вы никогда не поднимитесь, или историях со счастливым концом, или таких примерах самопожертвования, в которые чаще всего трудно поверить. 
And she's pretty happy.	Она очень счастлива. 
You will know what this person is doing, whether happy, sad, old, young - a huge amount of information.	Вы будете знать, что этот человек делает, будь он счастлив, печален, стар, молод - огромное количество информации. 
I meet people all the time who have those, and they're not necessarily happy.	Я постоянно встречаю людей, у которых это есть, и они не обязательно счастливы. 
If money actually made you happy, then the wealthiest people in the world would be the happiest.	Если бы деньги на самом деле делали тебя счастливым, тогда самые богатые люди в этом мире были бы самыми счастливыми. 
We're so happy to see you, little bottle."	Мы так рады видеть тебя, маленькая бутылочка". 
And now the dog's really happy.	И теперь собака по-настоящему счастлива. 
And what struck me immediately in meeting Hyun-Sook was how confident she appeared to be, how happy she seemed to be in her own skin.	И меня сразу поразило при встрече с Хьюн Сук, насколько она была уверена в себе и насколько счастлива быть самой собой. 
I sort of had this picture of this incredibly wonderful, bright, happy little child, who now appeared to be very withdrawn, being enslaved by this family.	Я-то все еще помнил этого замечательного, светлого, счастливого ребенка, который полностью замкнулся, порабощенный этой семьей. 
I made a promise to her grandmother, your mother, that I would find a family, and now I'm so happy that you're going to take care of her."	Я пообещал ее бабушке, вашей маме, что я найду для нее семью, и я очень рад, что вы о ней позаботитесь." 
The small planets dominated, and there was a certain harmony to that, which actually Copernicus was very happy to note, and Kepler was one of the big proponents of.	Маленькие планеты доминировали, и в этом была определённая гармония о которой Коперник был очень рад упомянуть, и Кеплер был одним из больших сторонников этого. 
And we are very happy to be part of the TED family.	И мы очень счастливы быть частью семьи TED. 
I was really happy when I was done.	Был очень рад, когда все закончилось. 
It's an incredibly non-materialistic culture, where people don't have a lot, but they're incredibly happy.	Это общество абсолютно не материалистично, где у людей нет многого, но они необыкновенно счастливы. 
So, you have some really happy person holding 10 balloons, and some really sad soul holding one balloon.	В итоге, находятся очень счастливые люди с десятью шарами и некоторые печальные с одним шаром. 
But you know, even holding one balloon is like, kind of happy.	Но вы понимаете, даже имея один шар, человек немного счастлив. 
And then I would ask them a number of questions like what was the happiest day in their life, what makes them happy.	Затем я задавал ряд вопрос как, например, какой был самый счастливый день их жизни и что делает их счастливыми. 
I also used to think that all of our food came from these happy, little farms where pigs rolled in mud and cows grazed on grass all day.	Я тоже думал, что вся еда приходит из этих счастливых, маленьких ферм, где свинки валяются в грязи, а коровы пасутся на зеленой траве весь день. 
Graphic designer Stefan Sagmeister takes the audience on a whimsical journey through moments of his life that made him happy - and notes how many of these moments have to do with good design.	Графический дизайнер Стефан Загмайстер отправляется с аудиторией в фантастическое путешествие по моментам своей жизни, сделавшим его счастливым - и отмечает те моменты счастья, которые зависели от хорошего дизайна. 
There's one from a consumer's point of view - where I was happy while experiencing design.	Первое - с точки зрения потребителя, то есть когда я был счастлив, используя стильные предметы. 
Now, there is the other part, from a designer's standpoint - if you're happy while actually doing it.	Теперь посмотрим с другой стороны, со стороны дизайнера - - если ты счастлив, когда создаешь. 
And one way to see how happy designers are when they're designing could be to look at the authors' photos on the back of their monographs?	И один из способов узнать, насколько дизайнеры могут быть счастливы, - это посмотреть на фотографии авторов на обратной стороне их монографий. 
So, according to this, the Australians and the Japanese as well as the Mexicans are very happy.	Дэвид Ланкэшир Похоже, что самые счастливые дизайнеры - австралийские и японские, а также мексиканские - они очень счастливы. 
A happy dog - and you take it out, it's an aggressive dog.	Вот счастливая собака, снимаем и получаем агрессивную собаку. 
It's a happy David Byrne and an angry David Byrne.	Вот счастливый Дэвид Бирн, а вот очень злой Дэвид Бирн. 
Or a jazz poster with a happy face and a more aggressive face.	Вот джазовая афиша со счастливым и с более агрессивным лицом. 
I would definitely say that observing Vik Muniz' "Cloud" a couple of years ago in Manhattan for sure made me happy, as well.	Определенно могу сказать, что наблюдение за работой Вика Мунца "Облака" пару лет назад сделало меня также счастливым. 
And, of course, happy faces.	И, конечно же, счастливые лица. 
You can see the happy face on Mars, there.	Вот, на Марсе тоже существует счастливое лицо. 
And they tell us that even if we do it by astrology, theyв ™re happy.	Они говорят нам: даже если вы используете астрологию, мы счастливы.
And we were very, very happy.	И мы были невероятно счастливы. 
And it seemed on the road to some sort of a decent life - a happy ending to a story involving wise improvisation from a wise judge.	И уже казалось, что это дорога к достойной жизни и счастливый конец истории про мудрую импровизацию мудрой судьи. 
There's now a lot of research being done in psychology on what makes people happy, and the two things that jump out in study after study - I know this will come as a shock to all of you - the two things that matter most to happiness are love and work.	Существует много психологических исследований о том, что делает людей счастливыми, и два фактора возникают практически в каждом исследовании - я знаю, что вас всех это шокирует - два фактора, наиболее важные для счастья, - это любовь и работа. 
But if I show you this picture it's not to tell you how happy we were.	Но я показываю вам эту картинку не для того, чтобы передать, как счастливы мы были, 
He said, "Be happy.	Он сказал: "Будьте счастливы. 
A happy patient is a healthy patient."	Счастливый пациент это здоровый пациент". 
And everybody was really happy for me, but me.	И всё были по-настоящему рады кроме меня. 
And this woman is very happy now, bringing her products to the market.	Женщина на фото рада, что везет продукты на рынок. 
And, it would arrive at an agreement that everybody was happy with, without having to manipulate them so much - which is basically what I do, I manipulate them.	И приходили бы к согласию, в котором все были бы счастливы, без лишних манипуляций - которые в основном я делаю, я манипулирую ими. 
It's like they feel "happy, happy, excited, oh shit, frustrated, frustrated, overwhelmed, depressed."	Они чувствую себя примерно так "счастлив, счастлив, радостно взволнован, о черт, недоволен, недоволен, потрясен, подавлен". 
Or, no matter what happens, they find a way to be happy or excited.	Или, независимо от обстоятельств, они находят способ быть счастливыми или радостными. 
I felt very happy to be at the secondary school, so I was determined to do anything possible to receive education.	Я был так счастлив ходить в школу. Поэтому я решил сделать всё возможное, чтобы получить обучение. 
And Jill and Kevin, the happy couple, they came back from their honeymoon and found that their video had gone crazy viral.	Счастливые молодожёны, Джилл и Кевин, вернулись из свадебного путешествия и узнали, что их видео распространяется подобно эпидемии. 
The color of each particle corresponds to the type of feeling inside - so that happy, positive feelings are brightly colored.	Цвет каждой частицы соответствует определенному типу чувств внутри - так что счастливые, позитивные чувства ярко окрашены. 
One of the things that I'm really, really happy to be able to show you here today is our virtual autopsy table.	Предмет моей особенной гордости, который я счастлив представить вам сегодня, - это наш стол для виртуальной аутопсии. 
The customer is happy, because the customer is God.	Клиент счастлив, потому что клиент - это Бог. 
I'm really happy that Mr. Anderson invited me.	Я очень рада, что мистер Андерсон меня пригласил. 
And I'm very happy to report that we're now using a dose of radiation that is equivalent to the effective dose from one digital mammogram.	И я очень счастлива скзать, что сейчас мы используем дозы радиации, которые эквивалентны эффективной дозе одной цифровой маммограммы. 
You'll be happy to know that I'll be talking not about my own tragedy, but other people's tragedy.	Вы будете рады узнать, что я расскажу вам не о своей трагедии, а о трагедии других людей. 
But ultimately, the story has a happy ending for Sudhir, who became one of the most respected sociologists in the country.	Но у этой истории счастливый конец для Судира, который стал одним из самых уважаемых социологов в стране. 
And of course, I'm very happy you asked that question - - because that's a very good question.	И, конечно, я очень рад, что вы задали этот вопрос потому что это очень хороший вопрос. 
That if you live in the best climate, in San Diego in the United States, or in the shittiest climate, in Buffalo, New York, you are going to be just as happy in either place.	То есть, живете ли вы в лучшем климате, в Сан-Диего в Соединённых Штатах, или в дерьмовейшем, в Буффало, штат Нью-Йорк, вы будете одинаково счастливы в обоих местах. 
Black people are just as happy as white people are.	Негры так же счастливы, как и белые. 
If I make this whole thing a little bit more personal and see what makes me happy as a designer, the easiest answer, of course, is do more of the stuff that I like to do and much less of the stuff that I don't like to do - for which it would be helpful to know what it is that I actually do like to do.	Если я сделаю всё это чуть более личным и посмотрю, что делает счастливее меня, как дизайнера, конечно, самый лёгкий ответ - делать больше того, что я люблю делать, и меньше того, что я делать не люблю - а для этого неплохо знать, что же я на самом деле люблю делать. 
But as I was traveling here, you'll be very happy to know, I did use my white symbol stick cane, because it's really good to skip queues in the airport.	Но когда я ехала сюда, вы будете рады услышать, что я все-таки воспользовалась своей белой тростью, потому что с ней можно проходить без очереди в аэропорту. 
TD: So, even though I'm somewhat happy about the wonderful developments that are happening in the world, still, I feel a sense of impediment, when it comes to the ability that we have to connect with each other on a heart-to-heart, or a mind-to-mind, level.	То есть хотя я в какой-то мере счастлив, наблюдая за замечательным развитием мира, тем не менее, я чувствую некие трудности на пути нашей способности соединяться друг с другом сердцем или разумом. 
I'm happy."	Я счастлив". 
It was a very happy ending.	Получился очень счастливый конец. 
And I'm happy to say that I'm now in the process of setting up this technology here in India.	Я рада сообщить, что сейчас я разворачиваю эту технологию здесь, в Индии. 
But we're really, really happy about who they are.	Мы просто очень-очень рады, что они такие, какие есть. 
This is why spouses in happy marriages tend to think that their husband or wife looks much better than anyone else thinks that they do.	Вот почему супруги в счастливых браках видят своего мужа или жену более красивыми, чем могли бы подумать другие. 
But there's at least one case where Capgras syndrome had a happy ending.	Однако есть как минимум один случай, когда синдром Капгра закончился счастливо. 
After she got it, "She was happy to report that she has discovered that he possessed a double who was rich, virile, handsome and aristocratic."	После: "Она была счастлива доложить, что она обнаружила его двойника, который был богатым, сексуальным, мужественным и аристократическим". 
The "dismal science" truly shines in this optimistic talk, as economist Alex Tabarrok argues free trade and globalization are shaping our once-divided world into a community of idea-sharing more healthy, happy and prosperous than anyone's predictions.	"Mpaчнaя наука" особенно сияет в этой оптимистичной лекции. Экономист Алекс Табаррок утверждает, что свободная торговля и глобализация создают на месте нашего когда-то разделенного мира общество обмена идеями, здоровее, счастливее и богаче чем кто-либо мог представить. 
Come on, they live in big houses, they have big cars, they all have blond hair, blue eyes, they're happy.	Да что вы, не знаете что ли, они живут в больших домах, ездят на больших машинах, у них у всех светлые волосы, голубые глаза, они счастливы. 
Just please accept that this piece of you escapes with your smile, and those of us who notice are happy to catch it in passing.	Просто признайтесь, что эта Ваша частичка проявляется, когда Вы улыбаетесь, и те из нас, кто знают о ней, рады отметить её мимолётом. 
They were happy because the story survived, and that the world would keep on spinning.	Они были счастливы, ведь история продолжилась, и мир не рухнул. 
I have much to make me happy and relieved.	У меня есть достаточно, чтобы я мог быть счастлив и свободен. 
They became so hilarious, but I was happy for them.	Они были так веселы, но я была счастлива за них. 
We are only happy when things are in order.	Мы счастливы только когда есть порядок. 
And I'm happy to sign it for you with any name of any artist.	И я буду счастлив подписаться в ней именем любого художника. 
Now the good news here is that if you take surveys from around the world, we see that about three quarters of people will say they are at least pretty happy.	Есть и изменения в лучшую сторону. В целом ряде стран опросы показывают, что почти три четверти людей что они по крайней мере "вполне счастливы". 
He said, "One feels inclined to say that the intention that man should be happy is not included in the plan of creation."	По его словам, "задача сделать человека счастливым не входила в план сотворения мира". 
Because, for example, the genes don't care whether we're happy, they care that we replicate, that we pass our genes on.	Скажем, нашим генам неважно, счастливы мы или нет. Их интерес в том, чтобы мы продолжали род и передавали гены далее. 
Yes, my mom was happy about that last one.	Да, моя мама была счастлива по поводу последнего. 
If I do something that makes you happy, I get to share your joy.	Если я сделал что-то, что делает вас счастливыми, я могу разделить вашу радость. 
So there's a picture of Francis and I before I met the girl, so I'm still looking happy.	Вот я и Фрэнсис на фото. Я пока ещё не был знаком с девушкой, и выглядел счастливым. 
And so I didn't really get happy until 1960, because then we found out, basically, you know, that there are three forms of RNA.	Я не был по-настоящему счастлив вплоть до 1960 года, когда мы наконец обнаружили, что есть три типа РНК. 
Well, they were happy as could be, because he hadn't said a rational word in the weeks of observation.	И все были счастливы до крайности, потому что до того он неделями не произносил ничего осмысленного. 
But it's been very exciting. It's been very happy.	Это время было очень захватывающим, очень счастливым. 
When I have a mother of an autistic child say, "My kid went to college because of your book, or one of your lectures," that makes me happy.	Когда мать ребенка-аутиста говорит мне: "Мой ребенок поступил в колледже благодаря Вашей книге или одной из Ваших лекций" - это делает меня счастливой. 
They wanted it messy, and we were happy to oblige.	Они хотели беспорядка, а мы были только рады подчиниться. 
And when I met Harriet in person the next year at the TED Conference, she'd gone online and ordered our own happy Haplotype T-shirts.	Когда год спустя я лично познакомился с Хэрриет на конференции TED, она через интернет заказала для нас, счастливых обладателей редкого гаплотипа, тематические футболки. 
So we had one group that I hoped their performance would be very high, another group that I thought their performance would be very low, and when I got the results, that's what we got - I was very happy - aside from one person.	У нас была одна группа, на высокие показатели которой я надеялся, и другая, у которой я ожидал низкие показатели. Когда я получил результаты, вот что мы получили - я был очень доволен - кроме одного человека. 
And for the past 23 years, at an increasing rate, we've been pouring more and more ideas and capabilities and so on into Mathematica, and I'm happy to say that that's led to many good things in R & D and education, lots of other areas.	В течение последних 23 лет мы обогащали пакет Mathematica новыми идеями и возможностями во всё возрастающем темпе, и я рад сообщить, что это помогло создать много полезного в научных исследованиях, образовании и многих других областях. 
But I'm happy to say it's actually going really well.	Но я рад сообщить, что проект продвигается весьма успешно, 
And the monkeys in that monkey forest looked, actually, fairly happy.	И обезьяны из этого обезьяньего леса выглядели вполне себе счастливыми. 
